Name,HairColour,EyeColour,WearsGlasses,HasHat,Gender,HasFacialHair
John,Brown,Blue,true,false,Male,true
Aisha,Black,Brown,false,false,Female,false
Miguel,Brown,Hazel,false,true,Male,true
Priya,Black,Brown,true,false,Female,false
Liam,Blonde,Blue,false,false,Male,false
Sofia,Brown,Green,false,true,Female,false
Chen,Black,Brown,true,false,Male,false
Fatima,Black,Hazel,false,false,Female,false
Diego,Brown,Green,false,true,Male,true
Emma,Blonde,Blue,true,false,Female,false
Omar,Black,Brown,false,false,Male,true
Yuki,Black,Green,true,false,Female,false
Samuel,Brown,Hazel,true,true,Male,true
Amara,Black,Brown,false,false,Female,false
Noah,Red,Blue,false,false,Male,false
Leila,Brown,Green,true,true,Female,false
Raj,Brown,Brown,false,false,Male,true
Hana,Black,Hazel,false,true,Female,false
Michael,Black,Blue,true,false,Male,true
Zara,Red,Green,false,false,Female,false
Alejandro,Brown,Hazel,false,true,Male,true
Grace,Blonde,Blue,true,false,Female,false
Kwame,Black,Brown,false,false,Male,false
Mei,Black,Green,true,true,Female,false
William,Red,Brown,false,false,Male,true
